hotelName,hotelAddress,Street,City,hotelDescription,pricePerNight,scoreGeneral,scoreValueForMoney,scoreLocation,scoreClean,distanceTlv
Melio Hotel Eilat,"Sderot Hativat HaNegev 20, Eilat",Sderot Hativat HaNegev 20,Eilat,"Set in Eilat, within 1.2 km of Kisuski Beach and 1.2 km of The Pearl Beach, Melio Hotel Eilat offers accommodation with a garden and free WiFi throughout the property as well as free private parking for guests who drive. The property is located …Read more",286.0,7.9,8.4,7.8,8.4,281.8
Badolina Ein Gedi Glamping,"Ein Gedi Street, Ein Gedi",Ein Gedi Street,Ein Gedi,"Dead Sea Camping is set in Ein Gedi, within 1 km of The Botanical Garden in Kibbutz Ein Gedi, and offers both Bungalow and empty lots.Guests can use shared toilets and showers at the property.The on-site restaurant serves Israeli cuisine and …Read more",130.0,8.5,7.7,9.2,8.3,90.2
Daniel Herzliya Hotel,"60 Ramat Yam Street, Herzelia ",60 Ramat Yam Street,Herzelia ,"Set right on the beach, in the heart of Herzliya Pituach business and entertainment districts, the Daniel Hotel is a luxurious hotel, highly suitable for both business and leisure.The hotel is offering wonderful leisure facilities which include …Read more",777.0,7.9,7.5,9.0,8.0,
Merom Golan Resort,"Kibbutz Merom Golan, Merom Golan",Kibbutz Merom Golan,Merom Golan,"Merom Golan Resort offers quiet mountain accommodation in the northern Golan Heights. The complex has large gardens, a seasonal indoor pool, a farm and stables, sports fields and a supermarket.You can choose from rooms, suites, or wood cabins …Read more",983.0,8.7,7.9,9.4,8.9,
Leonardo Club Hotel Dead Sea - All Inclusive,"Ein Bokek (Dead sea), Ein Bokek",Ein Bokek (Dead sea),Ein Bokek,"This all-inclusive deluxe hotel is set a private beach in the hotel area of Ein Bokek. It offers luxurious spa facilities, indoor and outdoor pools, a water park, and daily entertainment for children and adults alike.Leonardo Club Hotel Dead …Read more",1308.0,7.7,7.4,8.7,7.5,112.4
Zamarin Hotel & Spa,"16 Ha-Meyasdim Street, Zikhron Yaaqov",16 Ha-Meyasdim Street,Zikhron Yaaqov,"Situated in Zikhron Yaaqov and with Haifa’s Municipal Theater reachable within 39 km, Zamarin Hotel & Spa features concierge services, non-smoking rooms, a garden, free WiFi throughout the property and a terrace. Featuring a bar, the property …Read more",800.0,8.5,8.0,9.3,8.8,
וילה תהילה המחודש - The new Villa Tehila,"7 Ha-Khalutsim Street ת. ד 3232 ראש פינה, Rosh Pinna",7 Ha-Khalutsim Street ת. ד 3232 ראש פינה,Rosh Pinna,"Situated in Rosh Pinna, 6.5 km from Israel Bible Museum, וילה תהילה המחודש - The new Villa Tehila features accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. Featuring a restaurant, the 3-star hotel has …Read more",749.0,9.1,8.9,9.6,9.1,122.0
Selina Desert Garden Ramon,"4 Har Boker Street P.O.Box 771 Mitzpe Ramon, Mitzpe Ramon",4 Har Boker Street P.O.Box 771 Mitzpe Ramon,Mitzpe Ramon,"Selina Desert Garden Ramon features a seasonal outdoor swimming pool, garden, a terrace and restaurant in Mitzpe Ramon. Guests can make use of a bar.Free WiFi is available to all guests, while certain rooms include a balcony.The daily breakfast …Read more",351.0,8.4,8.1,8.8,8.8,163.2
Sadot Hotel Ben Gurion Airport - an Atlas Boutique Hotel,"Assaf Harofe Center, Assaf Harofeh",Assaf Harofe Center,Assaf Harofeh,"The Sadot Hotel is a design hotel in Beer Yaakov.Friendly staff will welcome you to the Sadot Hotel - an Atlas Boutique Hotel. You will have a generous buffet breakfast and parking is free.All rooms are large, modern and with views of the …Read more",748.0,8.2,7.8,7.8,8.8,
Keshet Yehonatan Country Lodging,"מושב קשת, Keshet",מושב קשת,Keshet,"With garden views, Keshet Yehonatan Country Lodging is set in Keshet and has a restaurant, a kids club, snack bar, garden, terrace and childrens playground. The lodge features both WiFi and private parking free of charge.Some of the units …Read more",111.0,8.5,8.6,9.0,8.7,91.5
Oasis Spa Club Dead Sea Hotel - 18 Plus,"Ein Bokek, Ein Bokek",Ein Bokek,Ein Bokek,"Oasis Spa Club is an adult only hotel that is occupying a prime position on the shores of the Dead Sea, the newly renovated Spa Club is well suited for guests seeking a true spa experience in relaxing and peaceful surroundings. Free WiFi is provided.This …Read more",607.0,7.9,7.4,8.8,8.1,112.4
