City,hotelName
Akko,99
Nahariyya,66
Beer Sheva,52
Masade,31
Had Nes,26
Kefar Weradim,26
Yeroham,25
Zikhron Yaaqov,23
Herzelia ,21
Moshav Ramot,21
Qiryat Shemona,21
Ein Kinya,21
Qasrine,20
Mishmar Hayardin,14
Rishon LeZiyyon,14
Maalot Tarshiha,13
Petah Tiqwa,13
Metulla,12
Rechovot,12
Herzliyya B,11
Shaal,10
Raananna,10
Bet Shean,10
Kefar Blum,10
Ein el Asad,9
Shear Yashuv,9
Odem,9
Tsivon,9
Yavneel,9
Neot Golan,9
Daliyat el Karmil,9
El-Rom,8
Kefar Szold,8
Givat Yoav,8
Oshrat,8
Ovnat,8
Yesod Hamaala,8
Beer Ora,7
Aniam,7
Sede Nehemya,7
Buqata,7
Kalia,6
Bet Hillel,6
Maale Gamla,6
Merhav Am,5
Mayan Barukh,5
Nov,5
Manot,5
Miilya,5
Avnei Eitan,5
Shomera,4
Pardes Hanna,4
Sifsufa,4
Peqiin Hadasha,4
Kefar Rosh HaNiqra,4
Kefar Shammay,4
Ramat Yishay,4
Kibbutz Snir,4
Poriyya Illit,4
Qiryat Yam,4
Maale Hachamisha,4
Merom Golan,4
Sede Boqer,4
Lahavot HaBashan,4
bla,4
Ein Yaaqov,4
Bruchim Qela Alon,4
Bet Oren,4
Neot HaKikar,3
Kefar Hananya,3
Metsoke Dragot,3
Dishon,3
Gan Shomeron,3
Natur,3
Kibbutz Mitzpe Shalem,3
Bet Zevi,3
Qiryat Ono,3
Gesher HaZiw,3
Yaara,3
Shave Ziyyon,3
Yoqneam,3
Menahemya,3
Reshef,2
Nof Kinneret,2
Merhavya,2
Zuqim,2
Migdal Afeq,2
Allonim,2
Mikhmannim,2
Miqwe Yisrael,2
Mitzpe Hila,2
Mizpa,2
Modiin,2
Bat Shelomo,2
Yonatan,2
Deir Hanna,2
Yesud HaMaala,2
Nir Dawid,2
Yanuh,2
Bene Beraq,2
Clil,2
Ayyelet HaShahar,2
Tirat Karmel,2
Tel Kazir,2
Qiryat Amal,2
Qiryat Ata,2
Qiryat Hayyim,2
Mashabbe Sade,2
Qiryat Motzkin,2
Amqa,2
Bet Lehem HaGelilit,2
Qiryat Shemuel,2
Qiryat Tivon,2
Bet Alfa,2
Shadmot Devora,2
Golan Heights,2
Addirim,2
Givat Avni,2
Kefar Yona,2
Jaffa Tel Aviv,2
Givat Rambam,2
Maale Adumim,2
Hefzi Bah,2
Kefar Hittim,2
Malkiyya,2
Kallanit,2
Kefar Ruppin,2
Givot Bar,2
Kefar Shemaryahu,2
Ramat Shlomo,1
Sede Eliezer,1
Shaar Hagolan,1
Kammon,1
Gevulot,1
Qiryat Sara,1
Sede Yoav,1
Bat Gallim,1
Givat Brenner,1
Bet HaShitta,1
Sappir,1
Gidona,1
Rumat Heib,1
Givat Olga,1
Kefar Giladi,1
Beer Milka,1
Bazra,1
Tabash,1
Assaf Harofeh,1
Ashdot Yaaqov,1
HaZoreim,1
Zova,1
Zeelim,1
Yuvallim,1
Harish,1
Hazeva,1
Yiron,1
Yifat,1
Hazor Ashdod,1
Almog,1
Yerushalayim,1
Alonei Habashan,1
Amikam,1
Yajur,1
Givat Shemuel,1
Umm el Qutuf,1
Ammiad,1
Telamim,1
Kadita,1
Kefar Tavor,1
Mashen,1
En Harod,1
Even Sappir,1
Daverat,1
Kidmat Tsvi,1
Kinar,1
Nahal Yaalon,1
Nachsholim,1
Lohame HaGetaot,1
Gan Shelomo,1
Maale Gilboa,1
Mitspe Netofa,1
Ein HaBesor,1
Maalot,1
Qiryat Binyamin,1
Agur,1
Elifaz,1
Even Menahem,1
Elon,1
Maor,1
En Gev,1
En Hod,1
Melilot,1
Meir Shefeya,1
Mazzuva,1
HaKarmel,1
Nes Ziyyona,1
Neve Ativ,1
Newe Avot,1
Kerem Maharal,1
Qiryat Anavim,1
Kfar Adumim,1
Kfar Haruv,1
Bet Shemuel,1
Bet Yannay,1
Kfar Rut,1
Biriyya,1
Paran,1
Ozem,1
Khirbet Minim,1
Buqeia,1
Ortal,1
Or Aqiva,1
Omer,1
Chorazim,1
Kibbutz Ginnosar,1
Kibbutz Shefayim,1
Nizzane Sinay,1
Gerofit,1
Newe Hayyim,1
Qiryat Haroshet,1
