City,distanceTlv
Eilat,281.8
Ein Gedi,90.2
Herzliya,10.2
Marom Golan,
Ein Bokek,112.4
Zichron Ya'akov,
Rosh Pinna,122.0
Mitzpe Ramon,163.2
was collected by the doctor,
Keshet,91.5
HaOn,106.7
Rishon LeZion,14.6
Acre,98.3
Nir David,79.2
Almog,
Nazareth,84.6
Beer Sheva,
cliffs,
Metula,152.7
Mishmar Hiridin,
Sde Booker,
Maghar,107.6
Maale Gamla,
Adirim,69.7
The primary,
Parod,112.9
Gadot,130.5
Tiberias,105.4
Dalia,63.3
Kfar Bloom,
Nahariya,106.8
Bla,
Hatzor haglilit,123.0
Haifa,84.7
Sde Yoav,
Kiryat Anavim,43.9
Kibbutz Shafiim,
Arbel,104.8
Holon,7.2
Lohm the ghettos,
is Jarofit,
Carmel Castle,
Beit Oren,75.5
Beit Yanai,34.2
Kalia,
Shaiv Zion,
Tel Aviv,0.0
Ashdod,33.7
Neve Zohar,117.1
Jerusalem,53.8
Sde Nehemiah,
Masada,102.0
Yeruham,122.2
Tzalim,
Ein Gav,
Livnim,110.1
Netanya,29.1
Tal Shahar,32.6
Moran,109.7
Ein Zivan,147.8
The Galilean Bethlehem,
the flames of Bashan,
Ashkelon,50.3
Maale Gilboa,
Caesarea,48.0
Dafna,151.0
high fives,
Ramat Gan,4.3
Ramat Yishai,78.2
Yakneam,
Ma'alot Tarshikha,
is light,
Amikam,
Aniam,
Naot Golan,
Ann Harod said,
Hezba,
Ortal,
Safed,119.3
Had Nes,
Kiryat Amal,
Mizra,79.4
Avni Eitan,
Migdal,108.1
Nes Ammim,103.5
Amirim,114.3
Menachem,
Hadera,43.1
Moshav Ramot ,
Kfar Vardim,
Yavnal,
Sharona,96.6
Midreshet Ben Gurion,136.5
Givat Bar,
Goren,116.8
Gan Samaria,
Raanana,
Kramim,84.0
Gonen,141.5
Kibbutz Shanir,
Omar said,
Hagoshrim,149.4
Paran,
Hararit,101.5
Odem,
A upheavals,
Kfar Sold,
tributaries,
Nahal Ya'alon,
Shoresh,41.4
Elon,
Bat Yam,6.9
Kiryat Shmona,145.6
Ezuz,146.2
Daubert,
is destroying species,
Bustan HaGalil,100.9
Aghor,
Kfar Giladi,
Katzir ,105.0
Or Yehuda,8.4
Oranim,76.7
Liman,113.2
Regba,104.1
Majdal Shams,161.5
Herzliya b,
Ain Al Asad,
Metsoke Dragot,
Givat,54.7
Arad,100.0
Beer Milka,
Shaar Golan,
Kiryat Ata,85.5
Mailia,
Keener,
Gedera,29.6
is guarding,
Karmiel,102.7
Poria Ilit,
Nahf,107.3
Eliphaz,
Kinneret,102.6
Hazor Ashdod,
Isfiya,75.9
Zimrat,73.5
Kabri,110.2
Shlomi,116.8
The proper the square,
is located,
Midrakh Oz,67.4
Kiryat Shmuel,
Kahal,113.3
Afula,75.7
Malkia,
Zuba,
at night,
Moreshet,93.5
Dor,65.0
Beit Jann,113.4
Dimona,114.8
Ein Kiniya,
Kibbutz Ginosar,
Meitar,85.2
that,
Dishon,
pump field,
Atlit,69.1
Yad Hashmona,41.8
Tirat Yehuda,16.2
Tsivon,
Neve Ilan,41.3
Givat Yoav,
Abirim,116.8
Kfar Adumim,
Ramat Shlomo,
Beit al-Hasita,
Adi,86.5
A that resembles a bee,
Urim,89.7
Kasserine,
Shaar Yishov,
Kfar Harob,
Kfar Ruth,
Bucata,
Ashdot Jacob,
Lotem,104.4
Ilut,84.0
Manot,
Kafr Kanna,91.7
happy,
Baruch Kela Alon,
Beit Alfa,78.0
Beit Hillel,147.3
Beit Shean,
Mitzpe Hila,
Givat Ada,54.7
Petah Tikva,9.7
Gilon,101.0
Ibn Sapir,
Alonim,78.9
Jish,122.2
Kfar Rupin,
Beit Shmuel,
Onat,
Kannot,31.0
Kiryat Yam,87.9
Dalit Al Karmil,
A support,
Tzur Hadassah,50.1
Rehovot,21.1
Beer Ora,
Retamim,114.4
Kiryat Binyamin,
Giduna,
Sipsofa,
I want,
Kiryat Haim,
Netivot,76.1
Yaraon,
Ramat HaSharon,9.2
Kfar Shmariahu,
Kfar Saba,16.8
Reshef,
Bazara,
Jaffa,4.0
Hod HaSharon,12.5
Ben Barak,
Kiryat Ono,7.3
Givat Rambam,
Migdal Afek,
Yehud,23.4
Azor,7.8
Mikve Israel,
Kfar Yona,29.8
Lod,18.4
is a space with,
Ashalim,124.5
A in front of a deer,
Sde Eliezer,
is funded,
Lavi,100.3
Eilabun,102.5
Maya Baruch,
Tevesh,
Korazim,
Ameka,
Bukia,
Gesher Ziv,
Ilaniya,95.4
al-Rum,
Nimrod,158.3
Kfar Shamai,
Moledet,83.9
Kfar Tabor,
Kfar Rosh Hankara,
Dalton,123.4
Jonathan,
Givat Nili,57.4
Tel Kazir,
Haspin,127.5
Kalnit,
Adamit,118.1
Carmel,72.5
Yifa,
Tarshiha,113.9
Kiryat Tivon,
Amiad,
Mahanayim,125.3
Kiryat Motzkin,88.7
Givat Avni,
Amir,114.3
Gornot HaGalil,117.5
Ibn Menachem,
Kfar Hitit,
beyond,
Bat Galim,
Yuval,150.7
the sowers,
Kiryat Harushot,
Netor,
Kfar Hanania,
Lavon,107.0
Shefer,114.1
November,
Deir Hana,
Gan Ner,72.6
Ein Yaakov,
Nurit,74.6
Honeysuckle,
new Beijing,
Yarka,102.1
Hanita,117.9
Ramot Naftali,134.7
Romet Hive,
Beit Zvi,
Yosod HaMa'ala,
Anne Hood,
Ayelet Hashar,
Bat Shlomo,
is waiting,
Mitzpe Netufa,
Rehov,21.1
Janua,
Hosen,113.0
Modi'in,29.8
Givat Brenner,
Ness Ziona,16.4
Givat Shmuel,
Gan Shlomo,
Aseret,28.6
Yad Binyamin,31.7
Mikhmoret,37.2
Ramla,18.7
Maale Adumim,
Nizan Sinai,
Ein Hashur,
Nevatim,95.7
Ptolemy,
Ein Tamar ,138.4
Eitan,44.8
is booming,
Sapir,48.6
Kibbutz Mitzpe Shelem,
the Golan Heights,
Aloni Hashan,
Neve Ativ,
Meir Shafia,
Or Akiva,48.4
Binyamina,51.6
HaBonim,63.5
Kerem from the Haral,
New Ancestral,
Pardes Hana,
New Haim,
plowed,
Givat Olga,
Umm al Kutuf,
Maor,
Yajur,
Nesher,80.6
Ahihud,99.1
Avdon,114.0
Almagor,120.5
Hazon,108.4
Birya,
Hurfeish,117.0
Kadita,
Maalot,
Shezor,109.0
Fassuta,118.5
Nof Kinneret,
Kiryat Sara,
Rama,4.1
Kamon,107.3
Elifelet,120.4
